0	-5	0
0.5	-4.95917477119803	-0.035846506920837
1	-4.71722568781045	-0.246022910099699
1.5	-4.22749718167172	-0.664765131632792
2	-3.48986522159181	-1.22804331779791
2.5	-2.54350857850083	-1.79683113504556
3	-1.547902290258	-2.22865762808106
3.5	-0.551757288695995	-2.45631979427057
4	0.444387962912034	-2.46801313297179
4.5	1.44053367891158	-2.26342726173138
5	2.43622303838633	-1.85199341331071
5.5	3.39582910875703	-1.29188536336416
6	4.15989890982706	-0.720512480167511
6.5	4.67636426478006	-0.281585292827311
7	4.94484395614751	-0.0482289839303581
7.5	4.99994811345373	-4.72088293037771e-05
7.55388842701737	5	-6.23193903030511e-18
