0	0
0.05	0.00245945214747718
0.1	0.0098654934451431
0.15	0.0222248410861199
0.2	0.0395286611218484
0.25	0.0617579279629369
0.3	0.0888600100088391
0.35	0.120702300110712
0.4	0.157014074009235
0.419660468167632	0.172423422192571
0.45	0.197339060975505
0.5	0.241026828097237
0.55	0.287282823163987
0.6	0.335274367263881
0.65	0.384261617359269
0.7	0.433703409270958
0.75	0.483292533398309
0.8	0.532908622435865
0.839320936335264	0.571928832664407
0.85	0.582526198456357
0.9	0.632143531733541
0.95	0.681760633075781
1	0.731377513627972
1.05	0.780994171989689
1.1	0.83061059874198
1.15	0.880226778884681
1.2	0.929842693322304
1.25	0.9794583198602
1.2589814045029	0.988370647723209
1.3	1.02907363402476
1.35	1.07868861045809
1.4	1.12830322342727
1.45	1.1779174460671
1.5	1.22753124573545
1.55	1.27714457072568
1.6	1.3267573189586
1.65	1.37636927032932
1.67864187267053	1.40478832828234
1.7	1.42597996427952
1.75	1.47558887069234
1.8	1.52518932120822
1.85	1.57473051981629
1.9	1.62403749999225
1.95	1.6727293153709
2	1.7201935096592
2.05	1.76564351950254
2.09830234083816	1.80684780889097
2.1	1.80823862429042
2.15	1.84721608916481
2.2	1.88198551947469
2.25	1.91215981530733
2.3	1.93752846077828
2.35	1.95800045321583
2.4	1.97354767305193
2.45	1.98416772751749
2.5	1.98986895404317
2.51796280900579	1.99071937179042
2.55	1.99094999830997
2.6	1.99031406649457
2.65	1.99009158497945
2.7	1.99045527384537
2.75	1.99105110073531
2.8	1.99158639847554
2.85	1.99194815023244
2.9	1.99214683246518
2.93762327717342	1.99222214828938
2.95	1.99223772019435
3	1.9922725854158
3.05	1.99228391478402
3.1	1.99228725464814
3.15	1.99228850548298
3.2	1.99228954023296
3.25	1.99229087417778
3.3	1.99229246808543
3.35	1.99229389131178
3.35728374534105	1.99229404414798
3.4	1.99229453059529
3.45	1.99229432755149
3.5	1.99229353920562
3.55	1.99229244019501
3.6	1.99229127453366
3.65	1.99229023608213
3.7	1.99228946460887
3.75	1.99228904918695
3.77694421350869	1.99228898994961
3.8	1.99228903335106
3.85	1.99228941870452
3.9	1.99229016505341
3.95	1.99229118706902
4	1.99229234910218
4.05	1.99229346148908
4.1	1.99229428367892
4.15	1.99229454217279
4.19660468167632	1.99229404428126
4.2	1.99229397551787
4.25	1.99229259289056
4.3	1.99229099236457
4.35	1.99228963123694
4.4	1.99228858247938
4.45	1.99228738827165
4.5	1.99228434393519
4.55	1.99227402380924
4.6	1.9922418954155
4.61626514984395	1.99222214899321
4.65	1.99215700378263
4.7	1.99196884417923
4.75	1.99162116350605
4.8	1.99109742867441
4.85	1.99049812758797
4.9	1.99010252970634
4.95	1.99027252910532
5	1.99091524230646
5.03592561801158	1.99071937295367
5.05	1.99010664867062
5.1	1.98478733050112
5.15	1.97455021665783
5.2	1.95938627068257
5.25	1.9392967617059
5.3	1.91430678333949
5.35	1.88450059364784
5.4	1.85007719822358
5.45	1.81140841321912
5.45558608617921	1.80684781051683
5.5	1.76906907979276
5.55	1.72381117290534
5.6	1.67647386916763
5.65	1.62785275214278
5.7	1.57857692049478
5.75	1.52904543600978
5.8	1.47944674876142
5.85	1.42983804850168
5.87524655434684	1.40478832899969
5.9	1.38022747545037
5.95	1.33061560136835
6	1.28100290492587
6.05	1.23138962010306
6.1	1.181775855088
6.15	1.13216166402919
6.2	1.08254708042252
6.25	1.03293213130861
6.29490702251448	0.988370648230811
6.3	0.983316842451581
6.35	0.933701239324494
6.4	0.884085346393146
6.45	0.834469186126118
6.5	0.784852777935441
6.55	0.735236137153936
6.6	0.685619273689993
6.65	0.636002189696218
6.7	0.586384875239098
6.71456749068211	0.571928832974861
6.75	0.536767314274263
6.8	0.487150808399876
6.85	0.437557092725996
6.9	0.388095714851172
6.95	0.339056728663382
7	0.290963263784075
7.05	0.2445428508844
7.1	0.200625744924984
7.13422795884974	0.172423898083583
7.15	0.160014113075361
7.2	0.123372826037522
7.25	0.0911747579386629
7.3	0.063705141298006
7.35	0.0411058431254648
7.4	0.02343103909158
7.45	0.0106919757056885
7.5	0.00288485949791936
7.55	1.51097853000474e-05
7.55388842701737	5.62429876976855e-18
